LayerName,LayerType,Material,XPosition,YPosition,ZPosition,XSize,YSize,ZSize,Top,Right
M4_metal_0,Metal,copper,-1.96,-1.96,0,3.92,0.14,0.28,1.96,-1.82
M4_metal_1,Metal,copper,-1.96,-1.68,0,3.92,0.14,0.28,2.24,-1.82
M4_metal_2,Metal,copper,-1.96,-1.4,0,3.92,0.14,0.28,2.52,-1.82
M4_metal_3,Metal,copper,-1.96,-1.12,0,3.92,0.14,0.28,2.8,-1.82
M4_metal_4,Metal,copper,-1.96,-0.84,0,3.92,0.14,0.28,3.08,-1.82
M4_metal_5,Metal,copper,-1.96,-0.56,0,3.92,0.14,0.28,3.36,-1.82
M4_metal_6,Metal,copper,-1.96,-0.28,0,3.92,0.14,0.28,3.64,-1.82
M4_metal_7,Metal,copper,-1.96,-2.22045e-16,0,3.92,0.14,0.28,3.92,-1.82
M4_metal_8,Metal,copper,-1.96,0.28,0,3.92,0.14,0.28,4.2,-1.82
M4_metal_9,Metal,copper,-1.96,0.56,0,3.92,0.14,0.28,4.48,-1.82
M4_metal_10,Metal,copper,-1.96,0.84,0,3.92,0.14,0.28,4.76,-1.82
M4_metal_11,Metal,copper,-1.96,1.12,0,3.92,0.14,0.28,5.04,-1.82
M4_metal_12,Metal,copper,-1.96,1.4,0,3.92,0.14,0.28,5.32,-1.82
M4_metal_13,Metal,copper,-1.96,1.68,0,3.92,0.14,0.28,5.6,-1.82
M5_metal_0,Metal,copper,-1.96,-1.96,0.57,0.14,3.92,0.28,1.96,-1.82
M5_metal_1,Metal,copper,-1.68,-1.96,0.57,0.14,3.92,0.28,1.96,-1.54
M5_metal_2,Metal,copper,-1.4,-1.96,0.57,0.14,3.92,0.28,1.96,-1.26
M5_metal_3,Metal,copper,-1.12,-1.96,0.57,0.14,3.92,0.28,1.96,-0.98
M5_metal_4,Metal,copper,-0.84,-1.96,0.57,0.14,3.92,0.28,1.96,-0.7
M5_metal_5,Metal,copper,-0.56,-1.96,0.57,0.14,3.92,0.28,1.96,-0.42
M5_metal_6,Metal,copper,-0.28,-1.96,0.57,0.14,3.92,0.28,1.96,-0.14
M5_metal_7,Metal,copper,-2.22045e-16,-1.96,0.57,0.14,3.92,0.28,1.96,0.14
M5_metal_8,Metal,copper,0.28,-1.96,0.57,0.14,3.92,0.28,1.96,0.42
M5_metal_9,Metal,copper,0.56,-1.96,0.57,0.14,3.92,0.28,1.96,0.7
M5_metal_10,Metal,copper,0.84,-1.96,0.57,0.14,3.92,0.28,1.96,0.98
M5_metal_11,Metal,copper,1.12,-1.96,0.57,0.14,3.92,0.28,1.96,1.26
M5_metal_12,Metal,copper,1.4,-1.96,0.57,0.14,3.92,0.28,1.96,1.54
M5_metal_13,Metal,copper,1.68,-1.96,0.57,0.14,3.92,0.28,1.96,1.82
M6_metal_0,Metal,copper,-1.96,-1.96,1.14,3.92,0.14,0.28,1.96,-1.82
M6_metal_1,Metal,copper,-1.96,-1.68,1.14,3.92,0.14,0.28,2.24,-1.82
M6_metal_2,Metal,copper,-1.96,-1.4,1.14,3.92,0.14,0.28,2.52,-1.82
M6_metal_3,Metal,copper,-1.96,-1.12,1.14,3.92,0.14,0.28,2.8,-1.82
M6_metal_4,Metal,copper,-1.96,-0.84,1.14,3.92,0.14,0.28,3.08,-1.82
M6_metal_5,Metal,copper,-1.96,-0.56,1.14,3.92,0.14,0.28,3.36,-1.82
M6_metal_6,Metal,copper,-1.96,-0.28,1.14,3.92,0.14,0.28,3.64,-1.82
M6_metal_7,Metal,copper,-1.96,-2.22045e-16,1.14,3.92,0.14,0.28,3.92,-1.82
M6_metal_8,Metal,copper,-1.96,0.28,1.14,3.92,0.14,0.28,4.2,-1.82
M6_metal_9,Metal,copper,-1.96,0.56,1.14,3.92,0.14,0.28,4.48,-1.82
M6_metal_10,Metal,copper,-1.96,0.84,1.14,3.92,0.14,0.28,4.76,-1.82
M6_metal_11,Metal,copper,-1.96,1.12,1.14,3.92,0.14,0.28,5.04,-1.82
M6_metal_12,Metal,copper,-1.96,1.4,1.14,3.92,0.14,0.28,5.32,-1.82
M6_metal_13,Metal,copper,-1.96,1.68,1.14,3.92,0.14,0.28,5.6,-1.82
M7_metal_0,Metal,copper,-1.96,-1.96,1.71,0.14,3.92,0.28,1.96,-1.82
M7_metal_1,Metal,copper,-1.68,-1.96,1.71,0.14,3.92,0.28,1.96,-1.54
M7_metal_2,Metal,copper,-1.4,-1.96,1.71,0.14,3.92,0.28,1.96,-1.26
M7_metal_3,Metal,copper,-1.12,-1.96,1.71,0.14,3.92,0.28,1.96,-0.98
M7_metal_4,Metal,copper,-0.84,-1.96,1.71,0.14,3.92,0.28,1.96,-0.7
M7_metal_5,Metal,copper,-0.56,-1.96,1.71,0.14,3.92,0.28,1.96,-0.42
M7_metal_6,Metal,copper,-0.28,-1.96,1.71,0.14,3.92,0.28,1.96,-0.14
M7_metal_7,Metal,copper,-2.22045e-16,-1.96,1.71,0.14,3.92,0.28,1.96,0.14
M7_metal_8,Metal,copper,0.28,-1.96,1.71,0.14,3.92,0.28,1.96,0.42
M7_metal_9,Metal,copper,0.56,-1.96,1.71,0.14,3.92,0.28,1.96,0.7
M7_metal_10,Metal,copper,0.84,-1.96,1.71,0.14,3.92,0.28,1.96,0.98
M7_metal_11,Metal,copper,1.12,-1.96,1.71,0.14,3.92,0.28,1.96,1.26
M7_metal_12,Metal,copper,1.4,-1.96,1.71,0.14,3.92,0.28,1.96,1.54
M7_metal_13,Metal,copper,1.68,-1.96,1.71,0.14,3.92,0.28,1.96,1.82
M8_metal_0,Metal,copper,-1.96,-1.96,2.28,3.92,0.14,0.28,1.96,-1.82
M8_metal_1,Metal,copper,-1.96,-1.68,2.28,3.92,0.14,0.28,2.24,-1.82
M8_metal_2,Metal,copper,-1.96,-1.4,2.28,3.92,0.14,0.28,2.52,-1.82
M8_metal_3,Metal,copper,-1.96,-1.12,2.28,3.92,0.14,0.28,2.8,-1.82
M8_metal_4,Metal,copper,-1.96,-0.84,2.28,3.92,0.14,0.28,3.08,-1.82
